nobs,s,i,r_i,n_i,b_i
1,1,1," 	9 "," 	140 "," 	0  "
2,1,3," 	23 "," 	140 "," 	0  "
3,1,4," 	10 "," 	138 "," 	0  "
4,2,2," 	11 "," 	78 "," 	1  "
5,2,3," 	12 "," 	85 "," 	1  "
6,2,4," 	29 "," 	170 "," 	1  "
7,3,1," 	75 "," 	731 "," 	0  "
8,3,3," 	363 "," 	714 "," 	0  "
9,4,1," 	2 "," 	106 "," 	0  "
10,4,3," 	9 "," 	205 "," 	0  "
11,5,1," 	58 "," 	549 "," 	0  "
12,5,3," 	237 "," 	1561 "," 	0  "
13,6,1," 	0 "," 	33 "," 	0  "
14,6,3," 	9 "," 	48 "," 	0  "
15,7,1," 	3 "," 	100 "," 	0  "
16,7,3," 	31 "," 	98 "," 	0  "
17,8,1," 	1 "," 	31 "," 	0  "
18,8,3," 	26 "," 	95 "," 	0  "
19,9,1," 	6 "," 	39 "," 	0  "
20,9,3," 	17 "," 	77 "," 	0  "
21,10,1," 	79 "," 	702 "," 	0  "
22,10,2," 	77 "," 	694 "," 	0  "
23,11,1," 	18 "," 	671 "," 	0  "
24,11,2," 	21 "," 	535 "," 	0  "
25,12,1," 	64 "," 	642 "," 	0  "
26,12,3," 	107 "," 	761 "," 	0  "
27,13,1," 	5 "," 	62 "," 	0  "
28,13,3," 	8 "," 	90 "," 	0  "
29,14,1," 	20 "," 	234 "," 	0  "
30,14,3," 	34 "," 	237 "," 	0  "
31,15,1," 	0 "," 	20 "," 	0  "
32,15,4," 	9 "," 	20 "," 	0  "
33,16,1," 	8 "," 	116 "," 	0  "
34,16,2," 	19 "," 	149 "," 	0  "
35,17,1," 	95 "," 	1107 "," 	0  "
36,17,3," 	143 "," 	1031 "," 	0  "
37,18,1," 	15 "," 	187 "," 	0  "
38,18,3," 	36 "," 	504 "," 	0  "
39,19,1," 	78 "," 	584 "," 	0  "
40,19,3," 	73 "," 	675 "," 	0  "
41,20,1," 	69 "," 	1177 "," 	0  "
42,20,3," 	54 "," 	888 "," 	0  "
43,21,2," 	20 "," 	49 "," 	1  "
44,21,3," 	16 "," 	43 "," 	1  "
45,22,2," 	7 "," 	66 "," 	1  "
46,22,4," 	32 "," 	127 "," 	1  "
47,23,3," 	12 "," 	76 "," 	2  "
48,23,4," 	20 "," 	74 "," 	2  "
49,24,3," 	9 "," 	55 "," 	2  "
50,24,4," 	3 "," 	26 "," 	2  "
